###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1675699200,11615,0,,,,,,,,
1675702800,11096,0,,,,,,,,
1675706400,11365,0,,,,,,,,
1675710000,11800,0,,,,,,,,
1675713600,11388,0,,,,,,,,
1675717200,11177,0,,,,,,,,
1675720800,11303,0,,,,,,,,
1675724400,12228,0,,,,,,,,
1675728000,22935,0,,,,,,,,
1675731600,32482,0,,,,,,,,
1675735200,49460,0,,,,,,,,
1675738800,47262,0,,,,,,,,
1675742400,34345,0,,,,,,,,
1675746000,26430,0,,,,,,,,
1675749600,42048,0,,,,,,,,
1675753200,41831,0,,,,,,,,
1675756800,33163,0,,,,,,,,
1675760400,37451,0,,,,,,,,
1675764000,21191,0,,,,,,,,
1675767600,13477,0,,,,,,,,
1675771200,11718,0,,,,,,,,
1675774800,11881,0,,,,,,,,
1675778400,11702,0,,,,,,,,
1675782000,11904,0,,,,,,,,
1675785600,12204,0,,,,,,,,
1675789200,11780,0,,,,,,,,
1675792800,11788,0,,,,,,,,
1675796400,11818,0,,,,,,,,
1675800000,11906,0,,,,,,,,
1675803600,11592,0,,,,,,,,
1675807200,11823,0,,,,,,,,
1675810800,12973,0,,,,,,,,
1675814400,20349,0,,,,,,,,
1675818000,30104,0,,,,,,,,
1675821600,32195,0,,,,,,,,
1675825200,36337,0,,,,,,,,
1675828800,25539,0,,,,,,,,
1675832400,25879,0,,,,,,,,
1675836000,47550,0,,,,,,,,
1675839600,51743,0,,,,,,,,
1675843200,42511,0,,,,,,,,
1675846800,30984,0,,,,,,,,
1675850400,22128,0,,,,,,,,
1675854000,12261,0,,,,,,,,
1675857600,11892,0,,,,,,,,
1675861200,12126,0,,,,,,,,
1675864800,12237,0,,,,,,,,
1675868400,12018,0,,,,,,,,
1675872000,12359,0,,,,,,,,
1675875600,11874,0,,,,,,,,
1675879200,11893,0,,,,,,,,
1675882800,11717,0,,,,,,,,
1675886400,12033,0,,,,,,,,
1675890000,11976,0,,,,,,,,
1675893600,12104,0,,,,,,,,
1675897200,12711,0,,,,,,,,
1675900800,17406,0,,,,,,,,
1675904400,33905,0,,,,,,,,
1675908000,39328,0,,,,,,,,
1675911600,40439,0,,,,,,,,
1675915200,32581,0,,,,,,,,
1675918800,23416,0,,,,,,,,
1675922400,39233,0,,,,,,,,
1675926000,38371,0,,,,,,,,
1675929600,31842,0,,,,,,,,
1675933200,22565,0,,,,,,,,
1675936800,15019,0,,,,,,,,
1675940400,12287,0,,,,,,,,
1675944000,11764,0,,,,,,,,
1675947600,11933,0,,,,,,,,
1675951200,12223,0,,,,,,,,
1675954800,12013,0,,,,,,,,
1675958400,12068,0,,,,,,,,
1675962000,11669,0,,,,,,,,
1675965600,11922,0,,,,,,,,
1675969200,11807,0,,,,,,,,
1675972800,11762,0,,,,,,,,
1675976400,11891,0,,,,,,,,
1675980000,11953,0,,,,,,,,
1675983600,12678,0,,,,,,,,
1675987200,17201,0,,,,,,,,
1675990800,32746,0,,,,,,,,
1675994400,28045,0,,,,,,,,
1675998000,27200,0,,,,,,,,
1676001600,27195,0,,,,,,,,
1676005200,32179,0,,,,,,,,
1676008800,31208,0,,,,,,,,
1676012400,30753,0,,,,,,,,
1676016000,31227,0,,,,,,,,
1676019600,26804,0,,,,,,,,
1676023200,16450,0,,,,,,,,
1676026800,11636,0,,,,,,,,
1676030400,11417,0,,,,,,,,
1676034000,11133,0,,,,,,,,
1676037600,11645,0,,,,,,,,
1676041200,11279,0,,,,,,,,
1676044800,11295,0,,,,,,,,
1676048400,11171,0,,,,,,,,
1676052000,11398,0,,,,,,,,
1676055600,11496,0,,,,,,,,
1676059200,11154,0,,,,,,,,
1676062800,11071,0,,,,,,,,
1676066400,10935,0,,,,,,,,
1676070000,11395,0,,,,,,,,
1676073600,11215,0,,,,,,,,
1676077200,11171,0,,,,,,,,
1676080800,11051,0,,,,,,,,
1676084400,11623,0,,,,,,,,
1676088000,11679,0,,,,,,,,
1676091600,11561,0,,,,,,,,
1676095200,11452,0,,,,,,,,
1676098800,11450,0,,,,,,,,
1676102400,11734,0,,,,,,,,
1676106000,11225,0,,,,,,,,
1676109600,11309,0,,,,,,,,
1676113200,11657,0,,,,,,,,
1676116800,11376,0,,,,,,,,
1676120400,11491,0,,,,,,,,
1676124000,11474,0,,,,,,,,
1676127600,11457,0,,,,,,,,
1676131200,11299,0,,,,,,,,
1676134800,11149,0,,,,,,,,
1676138400,11367,0,,,,,,,,
1676142000,11316,0,,,,,,,,
1676145600,11535,0,,,,,,,,
1676149200,11609,0,,,,,,,,
1676152800,11313,0,,,,,,,,
