###Top Domain with Botnet Command-and-Control Detected###,,,,,,
No matching log data for this report,,,,,,
,,,,,,
###Top Visited High Risk Domain Categories###,,,,,,
No matching log data for this report,,,,,,
,,,,,,
###Domain Count by Threat level###,,,,,,
, ,% of Total,,,,
Medium,"3,261",98.49,,,,
High,30,0.91,,,,
Critical,20,0.6,,,,
,,,,,,
###Top Queried Domain bar###,,,,,,
###Top Queried Domain bar###,,,,,,
Queried Domain,Visits,% of Total,,,,
www.example.com,9646968,59.37%,,,,
fortinetdemoemea-prod-kafka-bootstrap.edr-prod.ensilo.com,1209316,7.44%,,,,
globalfctupdate.fortinet.net,858934,5.29%,,,,
login.microsoftonline.com,809702,4.98%,,,,
login.windows.net,796362,4.90%,,,,
login.microsoft.com,793004,4.88%,,,,
gmail.com,648475,3.99%,,,,
fsavm.fortinet.net,596812,3.67%,,,,
globalupdate.fortinet.net,477642,2.94%,,,,
globalmsgctrl.fortinet.net,411132,2.53%,,,,
,,,,,,
###Top Visited Domain Categories###,,,,,,
###Top Visited Domain Categories###,,,,,,
Category,Visits,% of Total,,,,
Information Technology,8811609,80.33%,,,,
Unknown,1597160,14.56%,,,,
Web-based Email,323629,2.95%,,,,
Search Engines and Portals,69817,0.64%,,,,
Entertainment,37502,0.34%,,,,
Information and Computer Security,34586,0.32%,,,,
Content Servers,29188,0.27%,,,,
Business,24577,0.22%,,,,
Social Networking,22010,0.20%,,,,
Freeware and Software Downloads,19298,0.18%,,,,
,,,,,,
###FortiGate with Top Domain Visited by Source IP###,,,,,,
ID,Device Name,Source IP,Domain,Category,Visits,% of Subtotal
1,FG_Tier1_Internet,10.8.8.169,www.example.com,Information Technology,"4,834,958",21.69%
 , ,10.8.8.97,www.example.com,Information Technology,"4,812,004",21.59%
 , ,10.8.8.50,fortinetdemoemea-prod-kafka-bootstrap.edr-prod.ensilo.com,Unknown,"1,209,312",5.42%
 , ,10.8.8.155,globalfctupdate.fortinet.net,Information Technology,"428,332",1.92%
 , ,10.8.8.155,globalupdate.fortinet.net,Unknown,"411,184",1.84%
 , ,10.8.8.155,globalmsgctrl.fortinet.net,Information Technology,"410,868",1.84%
 , ,10.8.8.151,globalfctupdate.fortinet.net,Information Technology,"392,824",1.76%
 , ,10.8.8.155,login.windows.net,Unknown,"291,430",1.31%
 , ,10.8.8.155,login.microsoft.com,Unknown,"290,967",1.31%
 , ,10.8.8.155,login.microsoftonline.com,Unknown,"290,722",1.30%
 , ,Others, , ,"8,919,796",40.01%
 , ,Subtotal, , ,"22,292,397",100.00%
 ,Total, , , ,"22,292,397",100.00%
,,,,,,
###Top Domain Lookup Failures by Count###,,,,,,
###Top Domain Lookup Failures by Count###,,,,,,
Domain,Visits,% of Total,,,,
globalmsgctrl.fortinet.net,6615,15.03%,,,,
globalupdate.fortinet.net,6411,14.57%,,,,
globalfctupdate.fortinet.net,6223,14.14%,,,,
forticlient-emsproxy.forticloud.com,4344,9.87%,,,,
login.microsoftonline.com,4105,9.33%,,,,
login.windows.net,3685,8.37%,,,,
login.microsoft.com,3652,8.30%,,,,
gmail.com,2435,5.53%,,,,
cdn.evgnet.com,220,0.50%,,,,
world-check.com,214,0.49%,,,,
Others,6104,13.87%,,,,
,,,,,,
###Top Source IP by Destination Count###,,,,,,
###Top Source IP by Destination Count###,,,,,,
,,% of Total,,,,
10.8.168.254,175,71.14%,,,,
10.8.8.97,18,7.32%,,,,
10.8.8.220,8,3.25%,,,,
10.8.9.138,8,3.25%,,,,
10.8.9.144,7,2.85%,,,,
10.8.13.28,7,2.85%,,,,
10.8.8.75,6,2.44%,,,,
10.8.9.108,6,2.44%,,,,
10.8.8.50,6,2.44%,,,,
10.8.8.129,5,2.03%,,,,
,,,,,,
###Top Destination IP by Source Count###,,,,,,
###Top Destination IP by Source Count###,,,,,,
,,% of Total,,,,
8.8.8.8,180,47.62%,,,,
65.39.139.161,51,13.49%,,,,
208.91.112.53,31,8.20%,,,,
208.91.112.52,29,7.67%,,,,
8.8.4.4,24,6.35%,,,,
1.1.1.1,22,5.82%,,,,
96.45.46.46,14,3.70%,,,,
96.45.45.45,10,2.65%,,,,
10.144.148.1,9,2.38%,,,,
10.145.148.5,8,2.12%,,,,
,,,,,,
###Severity by High Risk Source IPs Count###,,,,,,
, ,% of Total,,,,
High,38,95,,,,
Medium,2,5,,,,
,,,,,,
###Top DNS High Risk Source IP###,,,,,,
ID,Source IP,Critical,High,Medium,Total,
1,10.8.8.155,0,451,0,451,
2,10.8.8.220,0,433,0,433,
3,10.8.8.50,0,272,0,272,
4,10.8.8.133,0,262,0,262,
5,10.8.168.254,0,240,0,240,
6,10.8.8.153,0,229,0,229,
7,10.8.9.106,0,197,0,197,
8,10.8.13.28,0,165,0,165,
9,10.8.9.151,0,122,0,122,
10,10.8.123.9,0,45,0,45,
11,10.8.8.232,0,27,0,27,
12,10.8.9.108,0,19,0,19,
13,10.8.9.114,0,18,0,18,
14,10.8.9.144,0,18,0,18,
