###Intrusions By Severity###,,,,
Severity,Total Number,% of Total,,
Critical,19,82.61,,
High,4,17.39,,
,,,,
###Critical High and Medium Intrusions Timeline###,,,,
Date,Critical,High,Medium,
1675699200,0,0,0,
1675702800,0,0,0,
1675706400,0,0,0,
1675710000,0,0,0,
1675713600,0,0,0,
1675717200,0,0,0,
1675720800,0,0,0,
1675724400,0,0,0,
1675728000,0,0,0,
1675731600,1,0,0,
1675735200,0,0,0,
1675738800,0,0,0,
1675742400,0,0,0,
1675746000,0,0,0,
1675749600,3,0,0,
1675753200,1,0,0,
1675756800,7,1,0,
1675760400,0,0,0,
1675764000,0,0,0,
1675767600,0,0,0,
1675771200,0,0,0,
1675774800,0,0,0,
1675778400,0,0,0,
1675782000,0,0,0,
1675785600,0,0,0,
1675789200,0,0,0,
1675792800,0,0,0,
1675796400,0,0,0,
1675800000,0,0,0,
1675803600,0,0,0,
1675807200,0,0,0,
1675810800,0,0,0,
1675814400,0,0,0,
1675818000,0,0,0,
1675821600,0,0,0,
1675825200,0,0,0,
1675828800,0,0,0,
1675832400,0,0,0,
1675836000,0,0,0,
1675839600,0,0,0,
1675843200,0,0,0,
1675846800,0,0,0,
1675850400,0,0,0,
1675854000,0,0,0,
1675857600,1,0,0,
1675861200,0,0,0,
1675864800,0,0,0,
1675868400,0,0,0,
1675872000,0,0,0,
1675875600,0,0,0,
1675879200,0,0,0,
1675882800,0,0,0,
1675886400,0,1,0,
1675890000,0,0,0,
1675893600,0,0,0,
1675897200,0,0,0,
1675900800,0,0,0,
1675904400,0,0,0,
1675908000,0,0,0,
1675911600,0,0,0,
1675915200,0,0,0,
1675918800,0,0,0,
1675922400,0,0,0,
1675926000,0,0,0,
1675929600,0,0,0,
1675933200,0,0,0,
1675936800,0,0,0,
1675940400,0,0,0,
1675944000,0,0,0,
1675947600,0,0,0,
1675951200,0,0,0,
1675954800,0,0,0,
1675958400,0,0,0,
1675962000,0,0,0,
1675965600,0,0,0,
1675969200,0,0,0,
1675972800,0,0,0,
1675976400,0,0,0,
1675980000,0,0,0,
1675983600,0,0,0,
1675987200,0,0,0,
1675990800,0,0,0,
1675994400,0,0,0,
1675998000,0,0,0,
1676001600,0,0,0,
1676005200,1,0,0,
1676008800,0,0,0,
1676012400,0,0,0,
1676016000,0,0,0,
1676019600,1,0,0,
1676023200,0,0,0,
1676026800,0,0,0,
1676030400,0,0,0,
1676034000,0,0,0,
1676037600,0,0,0,
1676041200,0,0,0,
1676044800,0,0,0,
1676048400,0,0,0,
1676052000,0,0,0,
1676055600,0,0,0,
1676059200,1,0,0,
1676062800,0,0,0,
1676066400,0,0,0,
1676070000,0,0,0,
1676073600,0,0,0,
1676077200,0,0,0,
1676080800,0,0,0,
1676084400,0,0,0,
1676088000,0,0,0,
1676091600,0,0,0,
1676095200,0,0,0,
1676098800,0,0,0,
1676102400,0,0,0,
1676106000,0,0,0,
1676109600,0,0,0,
1676113200,0,0,0,
1676116800,0,0,0,
1676120400,0,0,0,
1676124000,0,0,0,
1676127600,0,0,0,
1676131200,0,0,0,
1676134800,0,0,0,
1676138400,0,0,0,
1676142000,0,0,0,
1676145600,0,0,0,
1676149200,0,0,0,
1676152800,0,0,0,
1676156400,0,0,0,
1676160000,0,0,0,
1676163600,0,0,0,
1676167200,1,0,0,
1676170800,0,1,0,
1676174400,0,1,0,
1676178000,0,0,0,
1676181600,0,0,0,
1676185200,0,0,0,
1676188800,0,0,0,
1676192400,0,0,0,
1676196000,1,0,0,
1676199600,0,0,0,
1676203200,0,0,0,
1676206800,0,0,0,
1676210400,0,0,0,
1676214000,0,0,0,
1676217600,0,0,0,
1676221200,0,0,0,
1676224800,0,0,0,
1676228400,1,0,0,
1676232000,0,0,0,
1676235600,0,0,0,
1676239200,0,0,0,
